x,carry_distance_yd,feature,feature_label
93.2355,123.5018,ball_speed_mph,Ball speed
90.663,117.7493,ball_speed_mph,Ball speed
105.2926,151.5967,ball_speed_mph,Ball speed
106.3216,155.479,ball_speed_mph,Ball speed
102.5635,146.9598,ball_speed_mph,Ball speed
100.7516,148.119,ball_speed_mph,Ball speed
126.9685,177.3513,ball_speed_mph,Ball speed
102.9662,137.3141,ball_speed_mph,Ball speed
124.15,168.2524,ball_speed_mph,Ball speed
124.5526,194.3788,ball_speed_mph,Ball speed
125.6934,192.1807,ball_speed_mph,Ball speed
107.0821,147.8565,ball_speed_mph,Ball speed
133.5004,213.9217,ball_speed_mph,Ball speed
120.5709,190.245,ball_speed_mph,Ball speed
127.8856,222.2988,ball_speed_mph,Ball speed
109.1177,165.0044,ball_speed_mph,Ball speed
93.7276,125.6234,ball_speed_mph,Ball speed
125.0447,195.035,ball_speed_mph,Ball speed
137.1018,236.0127,ball_speed_mph,Ball speed
